Image,Path,Subject,Distance,Focal
S5d09f27_i12,/mnt/homeGPU/isalinas/data/images/S5/d09/f27/S5d09f27_i12.png,5,0.9,27
S5d09f27_i13,/mnt/homeGPU/isalinas/data/images/S5/d09/f27/S5d09f27_i13.png,5,0.9,27
S5d1f27_i0,/mnt/homeGPU/isalinas/data/images/S5/d1/f27/S5d1f27_i0.png,5,1,27
S5d1f27_i1,/mnt/homeGPU/isalinas/data/images/S5/d1/f27/S5d1f27_i1.png,5,1,27
S5d1f27_i2,/mnt/homeGPU/isalinas/data/images/S5/d1/f27/S5d1f27_i2.png,5,1,27
S5d1f27_i3,/mnt/homeGPU/isalinas/data/images/S5/d1/f27/S5d1f27_i3.png,5,1,27
S5d1f27_i4,/mnt/homeGPU/isalinas/data/images/S5/d1/f27/S5d1f27_i4.png,5,1,27
S5d1f27_i5,/mnt/homeGPU/isalinas/data/images/S5/d1/f27/S5d1f27_i5.png,5,1,27
S5d1f27_i6,/mnt/homeGPU/isalinas/data/images/S5/d1/f27/S5d1f27_i6.png,5,1,27
S5d1f27_i7,/mnt/homeGPU/isalinas/data/images/S5/d1/f27/S5d1f27_i7.png,5,1,27
S5d1f27_i8,/mnt/homeGPU/isalinas/data/images/S5/d1/f27/S5d1f27_i8.png,5,1,27
S5d1f27_i9,/mnt/homeGPU/isalinas/data/images/S5/d1/f27/S5d1f27_i9.png,5,1,27
S5d1f27_i10,/mnt/homeGPU/isalinas/data/images/S5/d1/f27/S5d1f27_i10.png,5,1,27
S5d1f27_i11,/mnt/homeGPU/isalinas/data/images/S5/d1/f27/S5d1f27_i11.png,5,1,27
S5d1f27_i12,/mnt/homeGPU/isalinas/data/images/S5/d1/f27/S5d1f27_i12.png,5,1,27
S5d1f27_i13,/mnt/homeGPU/isalinas/data/images/S5/d1/f27/S5d1f27_i13.png,5,1,27
S5d14f27_i0,/mnt/homeGPU/isalinas/data/images/S5/d14/f27/S5d14f27_i0.png,5,1.4,27
S5d14f27_i1,/mnt/homeGPU/isalinas/data/images/S5/d14/f27/S5d14f27_i1.png,5,1.4,27
S5d14f27_i2,/mnt/homeGPU/isalinas/data/images/S5/d14/f27/S5d14f27_i2.png,5,1.4,27
S5d14f27_i3,/mnt/homeGPU/isalinas/data/images/S5/d14/f27/S5d14f27_i3.png,5,1.4,27
S5d14f27_i4,/mnt/homeGPU/isalinas/data/images/S5/d14/f27/S5d14f27_i4.png,5,1.4,27
S5d14f27_i5,/mnt/homeGPU/isalinas/data/images/S5/d14/f27/S5d14f27_i5.png,5,1.4,27
S5d14f27_i6,/mnt/homeGPU/isalinas/data/images/S5/d14/f27/S5d14f27_i6.png,5,1.4,27
S5d14f27_i7,/mnt/homeGPU/isalinas/data/images/S5/d14/f27/S5d14f27_i7.png,5,1.4,27
S5d14f27_i8,/mnt/homeGPU/isalinas/data/images/S5/d14/f27/S5d14f27_i8.png,5,1.4,27
S5d14f27_i9,/mnt/homeGPU/isalinas/data/images/S5/d14/f27/S5d14f27_i9.png,5,1.4,27
S5d14f27_i10,/mnt/homeGPU/isalinas/data/images/S5/d14/f27/S5d14f27_i10.png,5,1.4,27
S5d14f27_i11,/mnt/homeGPU/isalinas/data/images/S5/d14/f27/S5d14f27_i11.png,5,1.4,27
S5d14f27_i12,/mnt/homeGPU/isalinas/data/images/S5/d14/f27/S5d14f27_i12.png,5,1.4,27
S5d14f27_i13,/mnt/homeGPU/isalinas/data/images/S5/d14/f27/S5d14f27_i13.png,5,1.4,27
S5d18f27_i0,/mnt/homeGPU/isalinas/data/images/S5/d18/f27/S5d18f27_i0.png,5,1.8,27
S5d18f27_i1,/mnt/homeGPU/isalinas/data/images/S5/d18/f27/S5d18f27_i1.png,5,1.8,27
S5d18f27_i2,/mnt/homeGPU/isalinas/data/images/S5/d18/f27/S5d18f27_i2.png,5,1.8,27
S5d18f27_i3,/mnt/homeGPU/isalinas/data/images/S5/d18/f27/S5d18f27_i3.png,5,1.8,27
S5d18f27_i4,/mnt/homeGPU/isalinas/data/images/S5/d18/f27/S5d18f27_i4.png,5,1.8,27
S5d18f27_i5,/mnt/homeGPU/isalinas/data/images/S5/d18/f27/S5d18f27_i5.png,5,1.8,27
S5d18f27_i6,/mnt/homeGPU/isalinas/data/images/S5/d18/f27/S5d18f27_i6.png,5,1.8,27
S5d18f27_i7,/mnt/homeGPU/isalinas/data/images/S5/d18/f27/S5d18f27_i7.png,5,1.8,27
S5d18f27_i8,/mnt/homeGPU/isalinas/data/images/S5/d18/f27/S5d18f27_i8.png,5,1.8,27
S5d18f27_i9,/mnt/homeGPU/isalinas/data/images/S5/d18/f27/S5d18f27_i9.png,5,1.8,27
S5d18f27_i10,/mnt/homeGPU/isalinas/data/images/S5/d18/f27/S5d18f27_i10.png,5,1.8,27
S5d18f27_i11,/mnt/homeGPU/isalinas/data/images/S5/d18/f27/S5d18f27_i11.png,5,1.8,27
S5d18f27_i12,/mnt/homeGPU/isalinas/data/images/S5/d18/f27/S5d18f27_i12.png,5,1.8,27
S5d18f27_i13,/mnt/homeGPU/isalinas/data/images/S5/d18/f27/S5d18f27_i13.png,5,1.8,27
S5d35f27_i0,/mnt/homeGPU/isalinas/data/images/S5/d35/f27/S5d35f27_i0.png,5,3.5,27
S5d35f27_i1,/mnt/homeGPU/isalinas/data/images/S5/d35/f27/S5d35f27_i1.png,5,3.5,27
S5d35f27_i2,/mnt/homeGPU/isalinas/data/images/S5/d35/f27/S5d35f27_i2.png,5,3.5,27
S5d35f27_i3,/mnt/homeGPU/isalinas/data/images/S5/d35/f27/S5d35f27_i3.png,5,3.5,27
S5d35f27_i4,/mnt/homeGPU/isalinas/data/images/S5/d35/f27/S5d35f27_i4.png,5,3.5,27
S5d35f27_i5,/mnt/homeGPU/isalinas/data/images/S5/d35/f27/S5d35f27_i5.png,5,3.5,27
S5d35f27_i6,/mnt/homeGPU/isalinas/data/images/S5/d35/f27/S5d35f27_i6.png,5,3.5,27
S5d35f27_i7,/mnt/homeGPU/isalinas/data/images/S5/d35/f27/S5d35f27_i7.png,5,3.5,27
S5d35f27_i8,/mnt/homeGPU/isalinas/data/images/S5/d35/f27/S5d35f27_i8.png,5,3.5,27
S5d35f27_i9,/mnt/homeGPU/isalinas/data/images/S5/d35/f27/S5d35f27_i9.png,5,3.5,27
S5d35f27_i10,/mnt/homeGPU/isalinas/data/images/S5/d35/f27/S5d35f27_i10.png,5,3.5,27
S5d35f27_i11,/mnt/homeGPU/isalinas/data/images/S5/d35/f27/S5d35f27_i11.png,5,3.5,27
S5d35f27_i12,/mnt/homeGPU/isalinas/data/images/S5/d35/f27/S5d35f27_i12.png,5,3.5,27
S5d35f27_i13,/mnt/homeGPU/isalinas/data/images/S5/d35/f27/S5d35f27_i13.png,5,3.5,27
S5d4f27_i0,/mnt/homeGPU/isalinas/data/images/S5/d4/f27/S5d4f27_i0.png,5,4,27
S5d4f27_i1,/mnt/homeGPU/isalinas/data/images/S5/d4/f27/S5d4f27_i1.png,5,4,27
S5d4f27_i2,/mnt/homeGPU/isalinas/data/images/S5/d4/f27/S5d4f27_i2.png,5,4,27
S5d4f27_i3,/mnt/homeGPU/isalinas/data/images/S5/d4/f27/S5d4f27_i3.png,5,4,27
S5d4f27_i4,/mnt/homeGPU/isalinas/data/images/S5/d4/f27/S5d4f27_i4.png,5,4,27
S5d4f27_i5,/mnt/homeGPU/isalinas/data/images/S5/d4/f27/S5d4f27_i5.png,5,4,27
S5d4f27_i6,/mnt/homeGPU/isalinas/data/images/S5/d4/f27/S5d4f27_i6.png,5,4,27
S5d4f27_i7,/mnt/homeGPU/isalinas/data/images/S5/d4/f27/S5d4f27_i7.png,5,4,27
S5d4f27_i8,/mnt/homeGPU/isalinas/data/images/S5/d4/f27/S5d4f27_i8.png,5,4,27
S5d4f27_i9,/mnt/homeGPU/isalinas/data/images/S5/d4/f27/S5d4f27_i9.png,5,4,27
S5d4f27_i10,/mnt/homeGPU/isalinas/data/images/S5/d4/f27/S5d4f27_i10.png,5,4,27
S5d4f27_i11,/mnt/homeGPU/isalinas/data/images/S5/d4/f27/S5d4f27_i11.png,5,4,27
S5d4f27_i12,/mnt/homeGPU/isalinas/data/images/S5/d4/f27/S5d4f27_i12.png,5,4,27
S5d4f27_i13,/mnt/homeGPU/isalinas/data/images/S5/d4/f27/S5d4f27_i13.png,5,4,27
S10d05f27_i0,/mnt/homeGPU/isalinas/data/images/S10/d05/f27/S10d05f27_i0.png,10,0.5,27
S10d05f27_i1,/mnt/homeGPU/isalinas/data/images/S10/d05/f27/S10d05f27_i1.png,10,0.5,27
S10d05f27_i2,/mnt/homeGPU/isalinas/data/images/S10/d05/f27/S10d05f27_i2.png,10,0.5,27
S10d05f27_i3,/mnt/homeGPU/isalinas/data/images/S10/d05/f27/S10d05f27_i3.png,10,0.5,27
S10d05f27_i4,/mnt/homeGPU/isalinas/data/images/S10/d05/f27/S10d05f27_i4.png,10,0.5,27
S10d05f27_i5,/mnt/homeGPU/isalinas/data/images/S10/d05/f27/S10d05f27_i5.png,10,0.5,27
S10d05f27_i6,/mnt/homeGPU/isalinas/data/images/S10/d05/f27/S10d05f27_i6.png,10,0.5,27
S10d05f27_i7,/mnt/homeGPU/isalinas/data/images/S10/d05/f27/S10d05f27_i7.png,10,0.5,27
S10d05f27_i8,/mnt/homeGPU/isalinas/data/images/S10/d05/f27/S10d05f27_i8.png,10,0.5,27
S10d05f27_i9,/mnt/homeGPU/isalinas/data/images/S10/d05/f27/S10d05f27_i9.png,10,0.5,27
S10d05f27_i10,/mnt/homeGPU/isalinas/data/images/S10/d05/f27/S10d05f27_i10.png,10,0.5,27
S10d05f27_i11,/mnt/homeGPU/isalinas/data/images/S10/d05/f27/S10d05f27_i11.png,10,0.5,27
S10d05f27_i12,/mnt/homeGPU/isalinas/data/images/S10/d05/f27/S10d05f27_i12.png,10,0.5,27
S10d05f27_i13,/mnt/homeGPU/isalinas/data/images/S10/d05/f27/S10d05f27_i13.png,10,0.5,27
S10d07f27_i0,/mnt/homeGPU/isalinas/data/images/S10/d07/f27/S10d07f27_i0.png,10,0.7,27
S10d07f27_i1,/mnt/homeGPU/isalinas/data/images/S10/d07/f27/S10d07f27_i1.png,10,0.7,27
S10d07f27_i2,/mnt/homeGPU/isalinas/data/images/S10/d07/f27/S10d07f27_i2.png,10,0.7,27
S10d07f27_i3,/mnt/homeGPU/isalinas/data/images/S10/d07/f27/S10d07f27_i3.png,10,0.7,27
S10d07f27_i4,/mnt/homeGPU/isalinas/data/images/S10/d07/f27/S10d07f27_i4.png,10,0.7,27
S10d07f27_i5,/mnt/homeGPU/isalinas/data/images/S10/d07/f27/S10d07f27_i5.png,10,0.7,27
S10d07f27_i6,/mnt/homeGPU/isalinas/data/images/S10/d07/f27/S10d07f27_i6.png,10,0.7,27
S10d07f27_i7,/mnt/homeGPU/isalinas/data/images/S10/d07/f27/S10d07f27_i7.png,10,0.7,27
S10d07f27_i8,/mnt/homeGPU/isalinas/data/images/S10/d07/f27/S10d07f27_i8.png,10,0.7,27
S10d07f27_i9,/mnt/homeGPU/isalinas/data/images/S10/d07/f27/S10d07f27_i9.png,10,0.7,27
S10d07f27_i10,/mnt/homeGPU/isalinas/data/images/S10/d07/f27/S10d07f27_i10.png,10,0.7,27
S10d07f27_i11,/mnt/homeGPU/isalinas/data/images/S10/d07/f27/S10d07f27_i11.png,10,0.7,27
S10d07f27_i12,/mnt/homeGPU/isalinas/data/images/S10/d07/f27/S10d07f27_i12.png,10,0.7,27
S10d07f27_i13,/mnt/homeGPU/isalinas/data/images/S10/d07/f27/S10d07f27_i13.png,10,0.7,27
S10d09f27_i0,/mnt/homeGPU/isalinas/data/images/S10/d09/f27/S10d09f27_i0.png,10,0.9,27
S10d09f27_i1,/mnt/homeGPU/isalinas/data/images/S10/d09/f27/S10d09f27_i1.png,10,0.9,27
S10d09f27_i2,/mnt/homeGPU/isalinas/data/images/S10/d09/f27/S10d09f27_i2.png,10,0.9,27
S10d09f27_i3,/mnt/homeGPU/isalinas/data/images/S10/d09/f27/S10d09f27_i3.png,10,0.9,27
S10d09f27_i4,/mnt/homeGPU/isalinas/data/images/S10/d09/f27/S10d09f27_i4.png,10,0.9,27
S10d09f27_i5,/mnt/homeGPU/isalinas/data/images/S10/d09/f27/S10d09f27_i5.png,10,0.9,27
S10d09f27_i6,/mnt/homeGPU/isalinas/data/images/S10/d09/f27/S10d09f27_i6.png,10,0.9,27
S10d09f27_i7,/mnt/homeGPU/isalinas/data/images/S10/d09/f27/S10d09f27_i7.png,10,0.9,27
S10d09f27_i8,/mnt/homeGPU/isalinas/data/images/S10/d09/f27/S10d09f27_i8.png,10,0.9,27
S10d09f27_i9,/mnt/homeGPU/isalinas/data/images/S10/d09/f27/S10d09f27_i9.png,10,0.9,27
S10d09f27_i10,/mnt/homeGPU/isalinas/data/images/S10/d09/f27/S10d09f27_i10.png,10,0.9,27
S10d09f27_i11,/mnt/homeGPU/isalinas/data/images/S10/d09/f27/S10d09f27_i11.png,10,0.9,27
S10d09f27_i12,/mnt/homeGPU/isalinas/data/images/S10/d09/f27/S10d09f27_i12.png,10,0.9,27
S10d09f27_i13,/mnt/homeGPU/isalinas/data/images/S10/d09/f27/S10d09f27_i13.png,10,0.9,27
S10d1f27_i0,/mnt/homeGPU/isalinas/data/images/S10/d1/f27/S10d1f27_i0.png,10,1,27
S10d1f27_i1,/mnt/homeGPU/isalinas/data/images/S10/d1/f27/S10d1f27_i1.png,10,1,27
S10d1f27_i2,/mnt/homeGPU/isalinas/data/images/S10/d1/f27/S10d1f27_i2.png,10,1,27
S10d1f27_i3,/mnt/homeGPU/isalinas/data/images/S10/d1/f27/S10d1f27_i3.png,10,1,27
S10d1f27_i4,/mnt/homeGPU/isalinas/data/images/S10/d1/f27/S10d1f27_i4.png,10,1,27
S10d1f27_i5,/mnt/homeGPU/isalinas/data/images/S10/d1/f27/S10d1f27_i5.png,10,1,27
S10d1f27_i6,/mnt/homeGPU/isalinas/data/images/S10/d1/f27/S10d1f27_i6.png,10,1,27
S10d1f27_i7,/mnt/homeGPU/isalinas/data/images/S10/d1/f27/S10d1f27_i7.png,10,1,27
S10d1f27_i8,/mnt/homeGPU/isalinas/data/images/S10/d1/f27/S10d1f27_i8.png,10,1,27
S10d1f27_i9,/mnt/homeGPU/isalinas/data/images/S10/d1/f27/S10d1f27_i9.png,10,1,27
S10d1f27_i10,/mnt/homeGPU/isalinas/data/images/S10/d1/f27/S10d1f27_i10.png,10,1,27
S10d1f27_i11,/mnt/homeGPU/isalinas/data/images/S10/d1/f27/S10d1f27_i11.png,10,1,27
S10d1f27_i12,/mnt/homeGPU/isalinas/data/images/S10/d1/f27/S10d1f27_i12.png,10,1,27
S10d1f27_i13,/mnt/homeGPU/isalinas/data/images/S10/d1/f27/S10d1f27_i13.png,10,1,27
S10d14f27_i0,/mnt/homeGPU/isalinas/data/images/S10/d14/f27/S10d14f27_i0.png,10,1.4,27
S10d14f27_i1,/mnt/homeGPU/isalinas/data/images/S10/d14/f27/S10d14f27_i1.png,10,1.4,27
S10d14f27_i2,/mnt/homeGPU/isalinas/data/images/S10/d14/f27/S10d14f27_i2.png,10,1.4,27
S10d14f27_i3,/mnt/homeGPU/isalinas/data/images/S10/d14/f27/S10d14f27_i3.png,10,1.4,27
S10d14f27_i4,/mnt/homeGPU/isalinas/data/images/S10/d14/f27/S10d14f27_i4.png,10,1.4,27
S10d14f27_i5,/mnt/homeGPU/isalinas/data/images/S10/d14/f27/S10d14f27_i5.png,10,1.4,27
S10d14f27_i6,/mnt/homeGPU/isalinas/data/images/S10/d14/f27/S10d14f27_i6.png,10,1.4,27
S10d14f27_i7,/mnt/homeGPU/isalinas/data/images/S10/d14/f27/S10d14f27_i7.png,10,1.4,27
S10d14f27_i8,/mnt/homeGPU/isalinas/data/images/S10/d14/f27/S10d14f27_i8.png,10,1.4,27
S10d14f27_i9,/mnt/homeGPU/isalinas/data/images/S10/d14/f27/S10d14f27_i9.png,10,1.4,27
S10d14f27_i10,/mnt/homeGPU/isalinas/data/images/S10/d14/f27/S10d14f27_i10.png,10,1.4,27
S10d14f27_i11,/mnt/homeGPU/isalinas/data/images/S10/d14/f27/S10d14f27_i11.png,10,1.4,27
S10d14f27_i12,/mnt/homeGPU/isalinas/data/images/S10/d14/f27/S10d14f27_i12.png,10,1.4,27
S10d14f27_i13,/mnt/homeGPU/isalinas/data/images/S10/d14/f27/S10d14f27_i13.png,10,1.4,27
S10d18f27_i0,/mnt/homeGPU/isalinas/data/images/S10/d18/f27/S10d18f27_i0.png,10,1.8,27
S10d18f27_i1,/mnt/homeGPU/isalinas/data/images/S10/d18/f27/S10d18f27_i1.png,10,1.8,27
S10d18f27_i2,/mnt/homeGPU/isalinas/data/images/S10/d18/f27/S10d18f27_i2.png,10,1.8,27
S10d18f27_i3,/mnt/homeGPU/isalinas/data/images/S10/d18/f27/S10d18f27_i3.png,10,1.8,27
S10d18f27_i4,/mnt/homeGPU/isalinas/data/images/S10/d18/f27/S10d18f27_i4.png,10,1.8,27
S10d18f27_i5,/mnt/homeGPU/isalinas/data/images/S10/d18/f27/S10d18f27_i5.png,10,1.8,27
S10d18f27_i6,/mnt/homeGPU/isalinas/data/images/S10/d18/f27/S10d18f27_i6.png,10,1.8,27
S10d18f27_i7,/mnt/homeGPU/isalinas/data/images/S10/d18/f27/S10d18f27_i7.png,10,1.8,27
S10d18f27_i8,/mnt/homeGPU/isalinas/data/images/S10/d18/f27/S10d18f27_i8.png,10,1.8,27
S10d18f27_i9,/mnt/homeGPU/isalinas/data/images/S10/d18/f27/S10d18f27_i9.png,10,1.8,27
S10d18f27_i10,/mnt/homeGPU/isalinas/data/images/S10/d18/f27/S10d18f27_i10.png,10,1.8,27
S10d18f27_i11,/mnt/homeGPU/isalinas/data/images/S10/d18/f27/S10d18f27_i11.png,10,1.8,27
S10d18f27_i12,/mnt/homeGPU/isalinas/data/images/S10/d18/f27/S10d18f27_i12.png,10,1.8,27
S10d18f27_i13,/mnt/homeGPU/isalinas/data/images/S10/d18/f27/S10d18f27_i13.png,10,1.8,27
S10d35f27_i0,/mnt/homeGPU/isalinas/data/images/S10/d35/f27/S10d35f27_i0.png,10,3.5,27
S10d35f27_i1,/mnt/homeGPU/isalinas/data/images/S10/d35/f27/S10d35f27_i1.png,10,3.5,27
S10d35f27_i2,/mnt/homeGPU/isalinas/data/images/S10/d35/f27/S10d35f27_i2.png,10,3.5,27
S10d35f27_i3,/mnt/homeGPU/isalinas/data/images/S10/d35/f27/S10d35f27_i3.png,10,3.5,27
S10d35f27_i4,/mnt/homeGPU/isalinas/data/images/S10/d35/f27/S10d35f27_i4.png,10,3.5,27
S10d35f27_i5,/mnt/homeGPU/isalinas/data/images/S10/d35/f27/S10d35f27_i5.png,10,3.5,27
S10d35f27_i6,/mnt/homeGPU/isalinas/data/images/S10/d35/f27/S10d35f27_i6.png,10,3.5,27
S10d35f27_i7,/mnt/homeGPU/isalinas/data/images/S10/d35/f27/S10d35f27_i7.png,10,3.5,27
S10d35f27_i8,/mnt/homeGPU/isalinas/data/images/S10/d35/f27/S10d35f27_i8.png,10,3.5,27
S10d35f27_i9,/mnt/homeGPU/isalinas/data/images/S10/d35/f27/S10d35f27_i9.png,10,3.5,27
S10d35f27_i10,/mnt/homeGPU/isalinas/data/images/S10/d35/f27/S10d35f27_i10.png,10,3.5,27
S10d35f27_i11,/mnt/homeGPU/isalinas/data/images/S10/d35/f27/S10d35f27_i11.png,10,3.5,27
S10d35f27_i12,/mnt/homeGPU/isalinas/data/images/S10/d35/f27/S10d35f27_i12.png,10,3.5,27
S10d35f27_i13,/mnt/homeGPU/isalinas/data/images/S10/d35/f27/S10d35f27_i13.png,10,3.5,27
S10d4f27_i0,/mnt/homeGPU/isalinas/data/images/S10/d4/f27/S10d4f27_i0.png,10,4,27
S10d4f27_i1,/mnt/homeGPU/isalinas/data/images/S10/d4/f27/S10d4f27_i1.png,10,4,27
S10d4f27_i2,/mnt/homeGPU/isalinas/data/images/S10/d4/f27/S10d4f27_i2.png,10,4,27
S10d4f27_i3,/mnt/homeGPU/isalinas/data/images/S10/d4/f27/S10d4f27_i3.png,10,4,27
S10d4f27_i4,/mnt/homeGPU/isalinas/data/images/S10/d4/f27/S10d4f27_i4.png,10,4,27
S10d4f27_i5,/mnt/homeGPU/isalinas/data/images/S10/d4/f27/S10d4f27_i5.png,10,4,27
S10d4f27_i6,/mnt/homeGPU/isalinas/data/images/S10/d4/f27/S10d4f27_i6.png,10,4,27
S10d4f27_i7,/mnt/homeGPU/isalinas/data/images/S10/d4/f27/S10d4f27_i7.png,10,4,27
S10d4f27_i8,/mnt/homeGPU/isalinas/data/images/S10/d4/f27/S10d4f27_i8.png,10,4,27
S10d4f27_i9,/mnt/homeGPU/isalinas/data/images/S10/d4/f27/S10d4f27_i9.png,10,4,27
S10d4f27_i10,/mnt/homeGPU/isalinas/data/images/S10/d4/f27/S10d4f27_i10.png,10,4,27
S10d4f27_i11,/mnt/homeGPU/isalinas/data/images/S10/d4/f27/S10d4f27_i11.png,10,4,27
S10d4f27_i12,/mnt/homeGPU/isalinas/data/images/S10/d4/f27/S10d4f27_i12.png,10,4,27
S10d4f27_i13,/mnt/homeGPU/isalinas/data/images/S10/d4/f27/S10d4f27_i13.png,10,4,27
S15d05f27_i0,/mnt/homeGPU/isalinas/data/images/S15/d05/f27/S15d05f27_i0.png,15,0.5,27
S15d05f27_i1,/mnt/homeGPU/isalinas/data/images/S15/d05/f27/S15d05f27_i1.png,15,0.5,27
S15d05f27_i2,/mnt/homeGPU/isalinas/data/images/S15/d05/f27/S15d05f27_i2.png,15,0.5,27
S15d05f27_i3,/mnt/homeGPU/isalinas/data/images/S15/d05/f27/S15d05f27_i3.png,15,0.5,27
S15d05f27_i4,/mnt/homeGPU/isalinas/data/images/S15/d05/f27/S15d05f27_i4.png,15,0.5,27
S15d05f27_i5,/mnt/homeGPU/isalinas/data/images/S15/d05/f27/S15d05f27_i5.png,15,0.5,27
S15d05f27_i6,/mnt/homeGPU/isalinas/data/images/S15/d05/f27/S15d05f27_i6.png,15,0.5,27
S15d05f27_i7,/mnt/homeGPU/isalinas/data/images/S15/d05/f27/S15d05f27_i7.png,15,0.5,27
S15d05f27_i8,/mnt/homeGPU/isalinas/data/images/S15/d05/f27/S15d05f27_i8.png,15,0.5,27
S15d05f27_i9,/mnt/homeGPU/isalinas/data/images/S15/d05/f27/S15d05f27_i9.png,15,0.5,27
S15d05f27_i10,/mnt/homeGPU/isalinas/data/images/S15/d05/f27/S15d05f27_i10.png,15,0.5,27
S15d05f27_i11,/mnt/homeGPU/isalinas/data/images/S15/d05/f27/S15d05f27_i11.png,15,0.5,27
S15d05f27_i12,/mnt/homeGPU/isalinas/data/images/S15/d05/f27/S15d05f27_i12.png,15,0.5,27
S15d05f27_i13,/mnt/homeGPU/isalinas/data/images/S15/d05/f27/S15d05f27_i13.png,15,0.5,27
